,projectID,title,category,coordinator_name,coordinator_country,coordinator_activity_type,status,totalCostProj,project_start_year,project_end_year,opportunity_tier_cordis
1139,668031,GALAXY: Gut-and-liver axis in alcoholic liver fibrosis,Genomics / Molecular Biology,SYDDANSK UNIVERSITET,Denmark,HES,CLOSED,6408782.51,2016,2021,Not applicable
1140,668036,RELapses prevENTion in chronic autoimmune disease: common mechanisms and co-morbidities,Diagnostics / Biomarkers,MEDIZINISCHE UNIVERSITAET WIEN,Austria,HES,CLOSED,6469522.5,2015,2020,Not applicable
1141,668039,Imaging the Force of Cancer,Oncology,KING'S COLLEGE LONDON,United Kingdom,HES,CLOSED,7418116.25,2016,2021,Not applicable
1142,668119,Improving Diagnosis by Fast Field-Cycling MRI,Diagnostics / Biomarkers,THE UNIVERSITY COURT OF THE UNIVERSITY OF ABERDEEN,United Kingdom,HES,CLOSED,6597377.5,2016,2019,Not applicable
1143,668142,In Vivo Spectral Photon Counting CT Molecular Imaging in Cardio- and Neuro-Vascular Diseases,Diagnostics / Biomarkers,UNIVERSITE LYON 1 CLAUDE BERNARD,France,HES,CLOSED,6441663.75,2016,2021,Not applicable
1144,668350,Production and characterization of endocrine cells derived from human pancreas organoids for the cell-based therapy of type 1 diabetes,Cell / Advanced Therapies,JOHANN WOLFGANG GOETHE-UNIVERSITAET FRANKFURT AM MAIN,Germany,HES,CLOSED,5120275.0,2016,2019,Not applicable
1145,668353,Ubiquitous Pharmacogenomics (U-PGx): Making actionable pharmacogenomic data and effective treatment optimization accessible to every European citizen,Pharma / Biotech,ACADEMISCH ZIEKENHUIS LEIDEN,Netherlands,HES,CLOSED,14936613.25,2016,2021,Not applicable
1146,668532,“In Vivo Click PET Imaging Agents”: Improving clinical companion diagnostics,Diagnostics / Biomarkers,REGION HOVEDSTADEN,Denmark,PUB,CLOSED,5999800.0,2016,2021,Not applicable
1147,668596,Children’s Liver Tumour European Research Network,Diagnostics / Biomarkers,THE UNIVERSITY OF BIRMINGHAM,United Kingdom,HES,CLOSED,8191665.0,2016,2021,Not applicable
1148,668724,Tools and TECHNOlogies for Breakthrough in hEArt Therapies,Cell / Advanced Therapies,MEDIZINISCHE HOCHSCHULE HANNOVER,Germany,HES,CLOSED,5968850.0,2016,2019,Not applicable
1149,668738,Systems Medicine of Mitochondrial Parkinson’s Disease,Pharma / Biotech,UNIVERSITEIT LEIDEN,Netherlands,HES,CLOSED,5999990.0,2015,2020,Not applicable
1150,668769,DC-based immunotherapy to treat Malignant Mesothelioma,Oncology,ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM,Netherlands,HES,CLOSED,5782965.0,2016,2021,Not applicable
1151,668954,Understanding asthma phenotypes: going beyond the atopic/non-atopic paradigm,Diagnostics / Biomarkers,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE ROYAL CHARTER,United Kingdom,HES,CLOSED,2348803.0,2016,2021,Not applicable
1152,669198,Self-Organising Capacity of Stem Cells during Implantation and Early Post-implantation Development: Implications for Human Development,Genomics / Molecular Biology,THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,United Kingdom,HES,CLOSED,2477951.0,2016,2022,Not applicable
1153,669858,Bioengineered autonomous cell-biomaterials devices for generating humanised micro-tissues for regenerative medicine,Cell / Advanced Therapies,UNIVERSIDADE DE AVEIRO,Portugal,HES,CLOSED,2498987.5,2015,2021,Not applicable
1154,669879,New players in human BAT differentiation and activation: a human PSC-derived BAT approach combined with state of the art genome engineering and –omics based methodologies,Cell / Advanced Therapies,THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,United Kingdom,HES,CLOSED,2500000.0,2016,2023,Not applicable
1155,670133,Dissecting microbiome and immune interactions in human intestinal (cancer) organoids,Genomics / Molecular Biology,KONINKLIJKE NEDERLANDSE AKADEMIE VAN WETENSCHAPPEN - KNAW,Netherlands,REC,CLOSED,3062438.0,2015,2020,Not applicable
1156,670518,"Europe’s Lost Frontiers: exploring climate change, settlement and colonisation of the submerged landscapes of the North Sea basin using ancient DNA, seismic mapping and complex systems modelling",Genomics / Molecular Biology,UNIVERSITY OF BRADFORD,United Kingdom,HES,CLOSED,2497843.0,2015,2021,Not applicable
1157,670932,dUTPase Signalling: from Phage to Eukaryotes,Genomics / Molecular Biology,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,United Kingdom,HES,CLOSED,2246192.0,2015,2022,Not applicable
1158,670951,"Novel Gene Therapy Based on the Activation of Endogenous Genes for the Treatment of Ischemia - Concepts of endogenetherapy, release of promoter pausing, promoter-targeted ncRNAs and nuclear RNAi",Genomics / Molecular Biology,ITA-SUOMEN YLIOPISTO,Finland,HES,CLOSED,2437500.0,2015,2021,Not applicable
1159,676550,implementAtion anD OPeration of the gateway for healTh into BBMRI-ERIC,Genomics / Molecular Biology,BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC),Austria,REC,CLOSED,4949448.91,2015,2019,Not applicable
1160,678426,The diagnostic potential of miRNAs for early diagnosis of Systemic Sclerosis,Genomics / Molecular Biology,UNIVERSITAIR MEDISCH CENTRUM UTRECHT,Netherlands,HES,CLOSED,149190.0,2016,2017,Not applicable
1161,679068,Chromosomal Common Fragile Sites: Unravelling their biological functions and the basis of their instability,Genomics / Molecular Biology,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,Spain,REC,CLOSED,1499711.0,2016,2022,Not applicable
1162,680880,Discovery of Bcl-3 inhibitors as Potential Chemopreventive Agent for skin cancer,Oncology,LUNDS UNIVERSITET,Sweden,HES,CLOSED,150000.0,2015,2017,Not applicable
1163,680882,Companion Nanodiagnostics for Quantifying EPR and Stratifying Patients to Targeted Nanotherapies,Diagnostics / Biomarkers,UNIVERSITAETSKLINIKUM AACHEN,Germany,HES,CLOSED,145312.0,2016,2017,Not applicable
1164,681032,European HIV Vaccine Alliance (EHVA): a EU platform for the discovery and evaluation of novel prophylactic and therapeutic vaccine candidates,Cell / Advanced Therapies,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,France,REC,CLOSED,28224696.25,2016,2023,Not applicable
1165,688166,"A generic CMOS-compatible platform for co-integrated plasmonics/photonics/electronics PICs towards volume manufacturing of low energy, small size and high performance photonic devices",MedTech / Medical Device,ARISTOTELIO PANEPISTIMIO THESSALONIKIS,Greece,HES,CLOSED,4150246.25,2016,2018,Not applicable
1166,688188,MRI and Ultrasound Robotic Assisted Biopsy,Diagnostics / Biomarkers,UNIVERSITEIT TWENTE,Netherlands,HES,CLOSED,4343307.5,2016,2020,Not applicable
1167,688303,Laser and Ultrasound Co-Analyzer for thyroid nodules,Diagnostics / Biomarkers,FUNDACIO INSTITUT DE CIENCIES FOTONIQUES,Spain,REC,CLOSED,3999334.13,2016,2021,Not applicable
1168,688448,COMPACT BIOPHOTONIC PLATFORM FOR DRUG ALLERGY DIAGNOSIS,Diagnostics / Biomarkers,UNIVERSITAT POLITECNICA DE VALENCIA,Spain,HES,CLOSED,4288094.19,2016,2019,Not applicable
1169,688592,"Endoscopic versatile robotic guidance, diagnosis and therapy of magnetic-driven soft-tethered endoluminal robots",Oncology,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,Italy,HES,CLOSED,3049410.71,2015,2019,Not applicable
1170,689043,A decision support system for self-management of low back pain,Diagnostics / Biomarkers,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,Norway,HES,CLOSED,4920872.5,2016,2021,Not applicable
1171,689691,NEurobehavioural predictiVE and peRsonalised Modelling of depressIve symptoms duriNg primary somatic Diseases with ICT-enabled self-management procedures,Oncology,UNIVERSITA DI PISA,Italy,HES,CLOSED,4999513.75,2016,2020,Not applicable
1172,689810,Patient Empowerment through Predictive PERsonalised decision support,MedTech / Medical Device,OXFORD BROOKES UNIVERSITY,United Kingdom,HES,CLOSED,3548071.25,2016,2020,Not applicable
1173,690238,Decision Support and Information Management System for Breast Cancer,Diagnostics / Biomarkers,FUNDACION CENTRO DE TECNOLOGIAS DE INTERACCION VISUAL Y COMUNICACIONES VICOMTECH,Spain,REC,CLOSED,3340720.0,2016,2019,Not applicable
1174,690866,microRNA biomarkers in an innovative biophotonic sensor kit for high-specific diagnosis,Genomics / Molecular Biology,OPTOELETTRONICA ITALIA SRL,Italy,PRC,CLOSED,490500.0,2015,2019,Not applicable
1175,690876,Cost-effective microfluidic electronic devices for optimal drug administration based on fractional pharmacokinetics for leukemia treatments,Oncology,UNIVERZITET U NOVOM SADU,Serbia,HES,CLOSED,333000.0,2016,2019,Not applicable
1176,690901,“Tracking nano-bioprocesses using Super-Resolution Microscopy Techniques”,Genomics / Molecular Biology,UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,Italy,HES,CLOSED,873000.0,2016,2020,Not applicable
1177,690939,Exploiting Protein Complexes that Induce Cell-death,Oncology,UNIVERSITY OF GALWAY,Ireland,HES,CLOSED,607500.0,2016,2019,Not applicable
1178,690945,Carbon-based nano-materials for theranostic application,Oncology,INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON,France,HES,CLOSED,891000.0,2016,2019,Not applicable
1179,690973,Peptidomimetics with photocontrolled biological activity,Oncology,"ENAMINE LIMITED LIABILITY COMPANY,RESEARCH AND PRODUCTION ENTERPRISE",Ukraine,PRC,CLOSED,688500.0,2016,2019,Not applicable
1180,690998,Development of an Easy-to-use Metagenomics Platform for Agricultural Science,Genomics / Molecular Biology,UNIVERSITY OF ULSTER,United Kingdom,HES,CLOSED,648000.0,2015,2019,Not applicable
1181,691128,Future Formulations: Developing Future Pharmaceuticals Through Advanced Analysis and Intersectoral Exchange,Pharma / Biotech,THE UNIVERSITY OF NOTTINGHAM,United Kingdom,HES,CLOSED,414000.0,2016,2020,Not applicable
1182,692068,BrIdging Structural BiOlogy with Biological SyNthesis and Self Assembly to Reveal Key Processes in Living Systems,Diagnostics / Biomarkers,Masarykova univerzita,Czechia,HES,CLOSED,996375.0,2016,2018,Not applicable
1183,692145,Rise of scientific excellence and collaboration for implementing personalised medicine in Estonia,Genomics / Molecular Biology,TARTU ULIKOOL,Estonia,HES,CLOSED,999750.0,2016,2019,Not applicable
1184,692180,Strategies towards Excellence in Immuno-Oncology,Oncology,WARSZAWSKI UNIWERSYTET MEDYCZNY,Poland,HES,CLOSED,1190261.25,2016,2018,Not applicable
1185,692293,TWINNING ON DNA-BASED CANCER VACCINES,Oncology,RIGAS STRADINA UNIVERSITATE,Latvia,HES,CLOSED,999475.0,2016,2018,Not applicable
1186,692298,Medical Genomics and Epigenomics Network,Genomics / Molecular Biology,Masarykova univerzita,Czechia,HES,CLOSED,1016531.25,2016,2018,Not applicable
1187,692320,TWINNING for a Comprehensive Clinical Centre for the Diagnosis and Treatment of Parkinson's Disease,Diagnostics / Biomarkers,UNIVERSITE DU LUXEMBOURG,Luxembourg,HES,CLOSED,1062500.0,2016,2019,Not applicable
1188,692322,Towards outstanding research and training in tumour biology at IMM,Oncology,INSTITUTO DE MEDICINA MOLECULAR JOAO LOBO ANTUNES,Portugal,REC,CLOSED,999975.0,2016,2018,Not applicable
1189,696009,Energy Efficient Optimised District Heating and Cooling,Diagnostics / Biomarkers,MUNSTER TECHNOLOGICAL UNIVERSITY,Ireland,HES,CLOSED,1999850.0,2016,2019,Not applicable
1190,696802,Predicting Response to Depression Treatment,MedTech / Medical Device,P1VITAL LIMITED,United Kingdom,PRC,CLOSED,4092630.25,2015,2019,Not applicable
1191,698263,Cerenkov Imaging for Surgical Margin Assessment,Oncology,LIGHTPOINT MEDICAL LTD,United Kingdom,PRC,CLOSED,2351461.25,2015,2019,Not applicable
1192,698630,OncoMasTR - Novel Prognostic Assay for Early Stage Breast Cancer,Genomics / Molecular Biology,ONCOMARK LIMITED,Ireland,PRC,CLOSED,2751250.0,2016,2018,Not applicable
1193,679243,Mechanisms of epigenetic inheritance by short RNAs,Genomics / Molecular Biology,INSTITUT PASTEUR,France,REC,CLOSED,1791250.0,2016,2021,Not applicable
1194,680037,Coordination Of Patterning And Growth In The Spinal Cord,Oncology,INSTITUTE OF SCIENCE AND TECHNOLOGY AUSTRIA,Austria,HES,CLOSED,1499119.0,2016,2021,Not applicable
1195,680042,The molecular interface between cell cycle and redox regulation,Oncology,INSTITUTE OF CANCER RESEARCH: THE ROYAL CANCER HOSPITAL LBG,United Kingdom,HES,CLOSED,1499688.0,2016,2021,Not applicable
1196,680088,New approaches to characterise Schistosoma mansoni infections persisting despite mass drug administration,Genomics / Molecular Biology,UNIVERSITY OF GLASGOW,United Kingdom,HES,CLOSED,1490270.0,2016,2023,Not applicable
1197,693849,Fostering Innovation and Creativity in Europe through Public Administration Modernization towards Supplying and Exploiting Linked Open Statistical Data,Digital Health / Bioinformatics,ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS,Greece,REC,CLOSED,2788012.5,2016,2019,Not applicable
1198,677909,Deep non-invasive imaging via scattered-light acoustically-mediated computational microscopy,Diagnostics / Biomarkers,THE HEBREW UNIVERSITY OF JERUSALEM,Israel,HES,CLOSED,1500000.0,2016,2021,Not applicable
1199,688175,Soft modular biomimetic exoskeleton to assist people with mobility impairments,MedTech / Medical Device,FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,Italy,REC,CLOSED,5422863.75,2016,2019,Not applicable
1200,687014,Development of VOCs and ozone Micro-analysers based on microfluidic devices for Aircraft Cabin Air mOnitoring (MACAO),MedTech / Medical Device,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,France,REC,CLOSED,436250.0,2016,2020,Not applicable
1201,692924,BioActive Coatings in multi-well cell culture plates,Pharma / Biotech,INSTITUT POLYTECHNIQUE DE GRENOBLE,France,HES,CLOSED,149998.0,2016,2017,Not applicable
1202,693343,QUANTUM OPTICAL MAGNETOMETER FOR MEDICAL APPLICATIONS,Diagnostics / Biomarkers,KOBENHAVNS UNIVERSITET,Denmark,HES,CLOSED,149921.0,2016,2017,Not applicable
1203,681891,Multi-protein interaction kinetics by single molecule methods,MedTech / Medical Device,ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,Germany,HES,CLOSED,1882500.0,2016,2021,Not applicable
1204,687785,Reliable Novel Liquid Biopsy technology for early detection of colorectal cancer,Genomics / Molecular Biology,ADVANCED WAVE SENSORS S.L.,Spain,PRC,CLOSED,2702268.75,2016,2018,Not applicable
1205,691102,Development of Microalgae-based novel high added-value products for the Cosmetic and Aquaculture industry,Pharma / Biotech,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,France,REC,CLOSED,972000.0,2016,2019,Not applicable
1206,679849,Deep-sea Sponge Grounds Ecosystems of the North Atlantic: an integrated approach towards their preservation and sustainable exploitation,Genomics / Molecular Biology,UNIVERSITETET I BERGEN,Norway,HES,CLOSED,10275365.25,2016,2020,Not applicable
1207,667713,Clinical development of a dendritic-cell vaccine therapy for acute myeloid leukaemia,Diagnostics / Biomarkers,STICHTING AMSTERDAM UMC,Netherlands,REC,CLOSED,8278716.25,2016,2020,Not applicable
1208,677353,Innovative Management of Genetic Resources,Genomics / Molecular Biology,"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",France,REC,CLOSED,8455031.39,2016,2020,Not applicable
1209,680465,Development of immunosuppressive treatments with better safety,Pharma / Biotech,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,France,REC,CLOSED,150000.0,2016,2017,Not applicable
1210,688196,"SELECT for Cities (Standardized, opEn, data-driven, service-oriented user-centric pLatform Enabling large-scale Co-creation, Testing validation of IoE services for Cities)",Digital Health / Bioinformatics,FORUM VIRIUM HELSINKI OY,Finland,OTH,CLOSED,5652313.13,2015,2019,Not applicable
1211,691110,Advanced MR methods for characterization of microstructural brain damage,Diagnostics / Biomarkers,MUSEO STORICO DELLA FISICA E CENTRO STUDI E RICERCHE ENRICO FERMI,Italy,REC,CLOSED,540000.0,2015,2019,Not applicable
1212,701512,"Implementation of Enzymatic Activity in a Naïve, de novo Designed Protein Scaffold by Rational Design and Laboratory Evolution",Genomics / Molecular Biology,EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,Switzerland,HES,CLOSED,175419.6,2016,2018,Not applicable
1213,694045,On-Chip Cytometry Printed On Demand,Automation,UNIVERSITEIT TWENTE,Netherlands,HES,CLOSED,150000.0,2016,2017,Not applicable
1214,705354,Transcription factor binding as a function of chromatin,Genomics / Molecular Biology,FRIEDRICH MIESCHER INSTITUTE FOR BIOMEDICAL RESEARCH FONDATION,Switzerland,REC,CLOSED,175419.6,2017,2019,Not applicable
1215,707270,"Warmed Icelandic Soils, Lipids and Sequencing: towards a better understood climate proxy",Genomics / Molecular Biology,UNIVERSITEIT ANTWERPEN,Belgium,HES,CLOSED,172800.0,2016,2018,Not applicable
1216,677623,Regulation of lymphocyte biology by ubiquitin and ubiquitin like modifiers,Cell / Advanced Therapies,UNIVERSITY OF DUNDEE,United Kingdom,HES,CLOSED,1499987.0,2016,2021,Not applicable
1217,678589,Preventing and mitigating farmed bivalve diseases,Genomics / Molecular Biology,INSTITUT FRANCAIS DE RECHERCHE POUR L'EXPLOITATION DE LA MER,France,REC,CLOSED,5414417.5,2016,2020,Not applicable
1218,692249,Smart Integration of Genetics with Sciences of the Past in Croatia: Minding and Mending the Gap,Genomics / Molecular Biology,SVEUCILISTE U ZAGREBU AGRONOMSKI FAKULTET,Croatia,HES,CLOSED,989731.89,2016,2019,Not applicable
1219,703466,Discovery of anticancer polymeric drugs that mimic the action of TRAIL,Oncology,KAROLINSKA INSTITUTET,Sweden,HES,TERMINATED,173857.2,2016,2018,Not applicable
1220,668858,PERSONALIZED ENGINE FOR CANCER INTEGRATIVE STUDY AND EVALUATION,Genomics / Molecular Biology,TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH,Austria,PRC,CLOSED,5695712.5,2016,2018,Not applicable
1221,678610,Unravelling mammalian mechanosensor diversity by functional genomics,Genomics / Molecular Biology,UNIVERSITE D'AIX MARSEILLE,France,HES,CLOSED,1491708.0,2016,2022,Not applicable
1222,678779,Carbon dioxide (CO2) emissions by rock-derived organic carbon oxidation,Digital Health / Bioinformatics,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",United Kingdom,HES,CLOSED,1499696.0,2016,2022,Not applicable
1223,679266,Integrated oil spill response actions and environmental effects,Diagnostics / Biomarkers,SUOMEN YMPARISTOKESKUS,Finland,REC,CLOSED,5513252.5,2016,2019,Not applicable
1224,689715,Big Data and models for personalized Head and Neck Cancer Decision support,Genomics / Molecular Biology,AZIENDA OSPEDALIERO-UNIVERSITARIA DI PARMA,Italy,PUB,CLOSED,4845000.0,2016,2019,Not applicable
1225,693210,"The Fablab for geodata-driven innovation - by leveraging Space data in particular, in Universities 2.0",Digital Health / Bioinformatics,UNIVERSITE DE TOULOUSE,France,HES,CLOSED,3499975.75,2016,2019,Not applicable
1226,696295,ERA-NET Biomarkers for Nutrition and Health implementing the JPI HDHL objectives,Diagnostics / Biomarkers,AGENCE NATIONALE DE LA RECHERCHE,France,PUB,CLOSED,14403750.0,2016,2022,Not applicable
1227,704464,"Phylogenomics, evolution, biogeography and key traits for breeders in yams (Dioscorea, Dioscoreaceae)",Genomics / Molecular Biology,ROYAL BOTANIC GARDENS KEW,United Kingdom,REC,CLOSED,183454.8,2017,2019,Not applicable
1228,717578,MAINTRAC-Auto: Automatization and validation of a liquid biopsy assay “Maintrac-AUTO CTC-analyser” for predictive real time monitoring and success control of solid tumor cancer therapy,Diagnostics / Biomarkers,SIMFO SPEZIELLE IMMUNOLOGIE FORSCHUNG UND ENTWICKLUNG GMBH,Germany,PRC,CLOSED,71429.0,2016,2016,Not applicable
1229,718642,Real-time molecular diagnostic testing for human infectious diseases using LAMP (Loop Mediated Isothermal Amplification) technology.,Diagnostics / Biomarkers,HIBERGENE DIAGNOSTICS LIMITED,Ireland,PRC,CLOSED,71429.0,2016,2016,Not applicable
1230,719262,Antimicrobial wound care solution to prevent and cure wound infections and cut health care costs,MedTech / Medical Device,SILVERGREEN OY LTD,Finland,PRC,CLOSED,71429.0,2016,2016,Not applicable
1231,701646,Evolution of fungal mating-type chromosomes,Genomics / Molecular Biology,UNIVERSITE PARIS-SACLAY,France,HES,TERMINATED,173076.0,2016,2018,Not applicable
1232,676207,Methods in Research on Research,Digital Health / Bioinformatics,UNIVERSITE PARIS CITE,France,HES,CLOSED,3864090.24,2016,2020,Not applicable
1233,677501,Less is more: Single Cell Analysis of Zebrafish Blood Development,Genomics / Molecular Biology,THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,United Kingdom,HES,CLOSED,1500000.0,2016,2022,Not applicable
1234,677661,Magnetic resonance imaging platform for probing fat microstructure,Diagnostics / Biomarkers,KLINIKUM DER TECHNISCHEN UNIVERSITÄT MÜNCHEN (TUM KLINIKUM),Germany,HES,CLOSED,1499565.64,2016,2021,Not applicable
1235,681012,Understanding the dynamics of the immune system to cure graft-versus-host disease (GvHD).,Genomics / Molecular Biology,UNIVERSITAETSKLINIKUM FREIBURG,Germany,HES,CLOSED,1987500.0,2016,2021,Not applicable
1236,688279,Enhanced Delivery Ecosystem for Neurosurgery in 2020,Oncology,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,United Kingdom,HES,CLOSED,8361446.25,2016,2021,Not applicable
1237,719002,Feasibility study of a novel treatment for cancer based on a recombinant peptide therapy,Oncology,PEPTOMYC SL,Spain,PRC,CLOSED,71429.0,2016,2016,Not applicable
1238,719483,Intelligent investment analysis of early-stage companies,Digital Health / Bioinformatics,CROWD ANALYTICS LTD,United Kingdom,PRC,CLOSED,71429.0,2016,2016,Not applicable
1239,699303,Interactive Toolset for Understanding Trade-offs in ATM Performance,Digital Health / Bioinformatics,NOMMON SOLUTIONS AND TECHNOLOGIES SL,Spain,PRC,CLOSED,998125.0,2016,2018,Not applicable
1240,701096,Functional high-throughput analysis of the role of microRNAs in cardiac ischemia-reperfusion injury,Genomics / Molecular Biology,CENTRO DE NEUROCIENCIAS E BIOLOGIACELULAR ASSOCIACAO,Portugal,REC,CLOSED,148635.6,2016,2018,Not applicable
1241,703542,Unlocking the methane cycling archives from Arctic lakes: a biological fingerprint,Genomics / Molecular Biology,KOBENHAVNS UNIVERSITET,Denmark,HES,CLOSED,212194.8,2016,2018,Not applicable
1242,705939,Landscape of epigenetic control in early and late germ line development,Genomics / Molecular Biology,STICHTING RADBOUD UNIVERSITEIT,Netherlands,HES,CLOSED,177598.8,2016,2018,Not applicable
1243,674909,Pharmaceutical Education And Research with Regulatory Links: Innovative drug development strategies and regulatory tools tailored to facilitate earlier access to medicines,Pharma / Biotech,"UNIVERSITY COLLEGE CORK - NATIONAL UNIVERSITY OF IRELAND, CORK",Ireland,HES,CLOSED,3856253.04,2016,2020,Not applicable
1244,676129,European Sepsis Academy: towards new biomarkers to improve sepsis management,Diagnostics / Biomarkers,AMSTERDAM UMC RESEARCH BV,Netherlands,PRC,CLOSED,3895551.0,2016,2020,Not applicable
1245,678071,Transcription Factor-mediated Neuronal Cell Fate Programming in Human Stem Cells,Genomics / Molecular Biology,TECHNISCHE UNIVERSITAET DRESDEN,Germany,HES,CLOSED,1495000.0,2016,2021,Not applicable
1246,678316,Hybrid Optical Interferometry for Quantitative Cancer Cell Diagnosis,Oncology,TEL AVIV UNIVERSITY,Israel,HES,CLOSED,1916250.0,2016,2022,Not applicable
1247,679033,Exploiting vortices to suppress dispersion and reach new separation power boundaries,Proteomics / Multi-omics,VRIJE UNIVERSITEIT BRUSSEL,Belgium,HES,CLOSED,1460687.5,2016,2021,Not applicable
1248,681858,Airline Maintenance Operations implementation of an E2E Maintenance Service Architecture and its enablers,Diagnostics / Biomarkers,TRANSPORTES AEREOS PORTUGUESES SA,Portugal,PRC,CLOSED,5189207.5,2015,2019,Not applicable
1249,686332,CORE NOISE ENGINE TECHNOLOGY,Diagnostics / Biomarkers,THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,United Kingdom,HES,CLOSED,997772.25,2016,2019,Not applicable
1250,701319,Regulation of (ADP-ribosyl)ation signalling in the DNA damage response: elucidating the function of a novel PARP1/ARTD1 interactor,Genomics / Molecular Biology,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",United Kingdom,HES,CLOSED,183454.8,2016,2018,Not applicable
1251,702300,Multitasking Nanoparticles for Intracellular Bioimaging and Biosensing,Oncology,UNIVERSITEIT GENT,Belgium,HES,CLOSED,258530.4,2017,2020,Not applicable
1252,703523,Analysis of protein corona formation on nanoparticles by DNA barcodes,Genomics / Molecular Biology,TECHNISCHE UNIVERSITEIT EINDHOVEN,Netherlands,HES,CLOSED,165598.8,2016,2018,Not applicable
1253,704830,Spin-Selection using Chirality: A Supramolecular Approach,Genomics / Molecular Biology,TECHNISCHE UNIVERSITEIT EINDHOVEN,Netherlands,HES,CLOSED,177598.8,2016,2018,Not applicable
1254,705602,Detection of Chromatin Bridges during Cytokinesis,Genomics / Molecular Biology,FUNDACIO CENTRE DE REGULACIO GENOMICA,Spain,REC,CLOSED,158121.6,2016,2018,Not applicable
1255,705607,Engineering the 3D Niche to enHANCE functionality of hepatocytes derived from human iPSCs,Cell / Advanced Therapies,KING'S COLLEGE LONDON,United Kingdom,HES,TERMINATED,183454.8,2016,2018,Not applicable
1256,718746,Oxidative Stress as a biomarker for Embryo Selection in IVF Process,Diagnostics / Biomarkers,CARMEL DIAGNOSTICS LTD,Israel,PRC,CLOSED,71429.0,2016,2016,Not applicable
1257,656687,A new generation of AptaSensors,Genomics / Molecular Biology,UNIVERSIDAD COMPLUTENSE DE MADRID,Spain,HES,CLOSED,239191.2,2016,2019,Not applicable
1258,677379,"Linking genetic resources, genomes and phenotypes of Solanaceous crops",Genomics / Molecular Biology,"AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE",Italy,REC,CLOSED,6891265.0,2016,2021,Not applicable
1259,678109,Colloidal Inorganic Nanostructures for Radiotherapy and Chemotherapy,Oncology,FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,Italy,REC,CLOSED,1160000.0,2016,2020,Not applicable
1260,678151,Hybrid immune-eluding nanocrystals as smart and active theranostic weapons against cancer,Oncology,POLITECNICO DI TORINO,Italy,HES,CLOSED,1489219.0,2016,2021,Not applicable
1261,680241,From Tissues to Single Molecules: High Content in Situ Super-Resolution imaging with DNA-PAINT,Genomics / Molecular Biology,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,Germany,HES,CLOSED,1695000.0,2016,2022,Not applicable
1262,702428,BMX-targeted ligand-drug conjugates for prostate cancer therapy,Oncology,INSTITUTO DE MEDICINA MOLECULAR JOAO LOBO ANTUNES,Portugal,REC,CLOSED,160635.6,2016,2019,Not applicable
1263,702601,Genome editing for spatiotemporal analysis of centriolar SATellite BIOgenesis and FUNction in cellular stress responses,Genomics / Molecular Biology,UNIVERSITY OF GALWAY,Ireland,HES,CLOSED,233555.4,2016,2019,Not applicable
1264,702622,Characterizing properties of the interstellar medium to better understand how stars form in galaxies,Diagnostics / Biomarkers,COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,France,REC,CLOSED,173076.0,2017,2019,Not applicable
